id,training_id,device_id,movement_id,repetition,timestamp,raw
1,1,1,1,1,2025-12-08T23:05:04.142018Z,"3248,3233,3233,2208,16,0,1345,2289,3121,3217,3232,3217,80,0,1057,2049,2945,3217,3232,3233,689,32,705,1745,2705,3248,3232,3216,2128,17,17,1505,2544,3248,3296,3265,3265,32,17,1168,2224,3169,3264,3248,3265,721,16,816,1873,2864"
2,1,1,1,1,2025-12-08T23:05:04.245016Z,"3232,3232,65,1,929,2048,3008,3217,3233,3232,1153,32,241,1680,2753,3200,3232,3233,3232,33,1,1361,2433,3232,3217,3216,3232,49,16,993,2097,3153,3264,3265,3280,1216,1,560,1825,2881,3265,3264,3265,3264,33,17,1473,2560,3249,3265"
3,1,1,1,1,2025-12-08T23:05:04.348016Z,"2336,17,0,1569,2657,3217,3216,3217,3233,48,1,1233,2321,3201,3216,3216,3233,657,1,848,1953,2993,3232,3216,3233,2161,0,16,1585,2689,3264,3265,3265,3248,49,0,1296,2385,3249,3264,3264,3265,688,17,913,2000,3057,3265,3264,3264"
4,1,1,1,1,2025-12-08T23:05:04.451018Z,"0,784,2096,3104,3232,3249,3233,1136,32,512,1792,2800,3217,3232,3216,3233,48,1,1408,2480,3200,3233,3232,3233,161,49,1056,2145,3136,3281,3265,3280,1201,17,753,1840,2864,3248,3264,3264,3264,32,0,1489,2528,3249,3265,3232,3264,64"
5,1,1,1,1,2025-12-08T23:05:04.555016Z,"1697,2641,3217,3232,3233,3264,49,33,1233,2256,3201,3233,3233,3232,608,16,881,1937,2929,3232,3217,3216,2049,17,1,1584,2672,3233,3232,3264,3249,49,17,1328,2368,3249,3264,3265,3249,672,16,944,2001,2993,3265,3264,3280,65,16,1057"
6,1,1,1,1,2025-12-08T23:05:04.658016Z,"3200,3217,3233,3232,49,1,1264,2289,3201,3217,3233,3232,576,16,881,1952,2912,3217,3249,3248,1905,32,97,1584,2592,3217,3233,3217,3248,49,17,1297,2321,3248,3264,3264,3265,593,1,929,1985,2960,3280,3265,3265,2016,17,224,1536,2544"
7,1,1,1,1,2025-12-08T23:05:04.761016Z,"3216,3233,1024,17,657,1729,2737,3216,3232,3233,3232,33,0,1393,2416,3216,3232,3216,3233,49,32,1041,2064,3041,3217,3233,3232,976,17,737,1777,2801,3264,3297,3264,3265,33,17,1457,2481,3232,3249,3248,3264,64,17,1089,2145,3104,3249"
8,1,1,1,1,2025-12-08T23:05:04.864016Z,"3216,33,1,1216,2256,3200,3232,3232,3233,448,33,864,1921,2928,3217,3232,3232,1664,32,16,1584,2593,3232,3232,3233,3233,32,1,1233,2305,3249,3265,3265,3264,497,1,945,2001,3009,3265,3264,3249,1760,33,272,1649,2688,3265,3265,3264"
9,1,1,1,1,2025-12-08T23:05:04.967016Z,"17,721,1777,2768,3216,3217,3233,3232,33,1,1440,2448,3184,3248,3216,3217,48,17,1073,2112,3072,3216,3217,3248,913,1,721,1776,2769,3248,3265,3265,3264,33,1,1504,2528,3280,3265,3264,3265,17,1,1120,2176,3137,3264,3264,3249,976"
10,1,1,1,1,2025-12-08T23:05:05.071016Z,"1233,2304,3217,3217,3248,3232,416,16,897,1937,2897,3216,3233,3216,1520,16,144,1585,2609,3217,3233,3232,3216,49,1,1249,2304,3201,3217,3297,3264,448,17,977,2001,2977,3249,3296,3297,1681,33,385,1680,2672,3264,3217,3233,881,16,801"
11,1,1,1,1,2025-12-08T23:05:05.174016Z,"3217,3217,3265,3232,384,1,912,1921,2881,3217,3232,3232,1392,17,193,1616,2576,3201,3217,3232,3232,33,0,1265,2272,3200,3233,3233,3232,385,0,993,2016,2977,3249,3264,3265,1617,33,369,1649,2640,3265,3265,3232,3264,32,33,1329,2336"
12,1,1,1,1,2025-12-08T23:05:05.277016Z,"3217,3217,2992,33,0,1425,2417,3233,3217,3216,3216,49,32,1104,2097,3025,3216,3233,3232,848,17,737,1760,2736,3216,3232,3233,2753,33,16,1505,2497,3233,3233,3265,3265,48,17,1152,2161,3088,3281,3265,3264,48,16,721,1776,2753,3265"
13,1,1,1,1,2025-12-08T23:05:05.379016Z,"3233,1616,17,17,1393,2401,3216,3216,3233,3232,49,0,1073,2081,3025,3201,3232,3233,769,16,721,1760,2721,3217,3217,3217,2641,17,1,1440,2449,3249,3264,3265,3265,64,32,1152,2177,3120,3264,3264,3264,816,17,768,1793,2881,3264,3264"
14,1,1,1,1,2025-12-08T23:05:05.482016Z,"64,0,913,1920,2977,3217,3216,3233,1264,16,225,1601,2592,3217,3232,3232,3248,32,1,1264,2289,3200,3217,3232,3217,241,17,929,1936,2960,3249,3264,3264,1313,16,416,1696,2688,3281,3264,3265,3265,32,0,1344,2352,3249,3296,3265,3265"
15,1,1,1,1,2025-12-08T23:05:05.585016Z,"0,1425,2416,3216,3233,3233,3232,49,16,1137,2145,3088,3217,3217,3216,720,17,753,1792,2785,3216,3233,3249,2448,17,1,1441,2433,3217,3265,3280,3264,65,33,1185,2208,3169,3264,3264,3264,737,16,833,1872,2913,3217,3232,3265,2640,32"
16,1,1,1,1,2025-12-08T23:05:05.688016Z,"2049,2960,3216,3232,3232,1200,16,369,1632,2608,3217,3233,3232,3232,32,0,1297,2304,3201,3216,3232,3217,176,0,961,1969,2929,3216,3232,3264,1248,17,561,1697,2688,3249,3264,3264,3265,33,0,1376,2385,3200,3216,3232,3232,208,32,1025"
17,1,1,1,1,2025-12-08T23:05:05.791016Z,"3217,3216,3232,3233,48,17,1136,2128,3056,3217,3232,3232,656,17,784,1808,2769,3233,3233,3233,2336,17,0,1488,2465,3216,3232,3217,3233,49,17,1217,2224,3153,3265,3265,3264,704,16,865,1872,2848,3264,3264,3265,2449,32,0,1552,2528"
18,1,1,1,1,2025-12-08T23:05:05.894016Z,"3217,3185,1137,17,496,1648,2608,3216,3232,3233,3233,32,1,1328,2304,3200,3216,3232,3233,128,17,977,1985,2929,3217,3232,3232,1105,17,721,1681,2641,3264,3264,3265,3264,33,1,1393,2384,3248,3264,3264,3233,49,17,977,2001,2961,3264"
19,1,1,1,1,2025-12-08T23:05:05.997016Z,"3232,32,16,1153,2144,3056,3217,3232,3233,608,17,816,1824,2769,3216,3233,3233,2113,32,0,1488,2465,3200,3216,3232,3216,32,0,1152,2176,3104,3265,3264,3265,657,17,864,1873,2833,3264,3264,3264,1601,17,1,1473,2481,3248,3265,3264"
20,1,1,1,1,2025-12-08T23:05:06.100016Z,"16,513,1536,2497,3217,3233,3233,2849,33,1,1313,2304,3200,3217,3233,3233,64,17,993,2000,2929,3232,3217,3232,1057,17,512,1649,2624,3216,3217,3216,2192,33,17,1344,2337,3248,3265,3265,3264,96,17,1056,2064,3008,3264,3264,3265,1121"
21,1,1,1,1,2025-12-08T23:05:06.204016Z,"1169,2145,3057,3232,3233,3233,528,17,832,1825,2784,3217,3216,3233,1952,33,1,1505,2464,3217,3233,3232,3232,49,0,1169,2177,3088,3217,3264,3265,561,17,896,1920,2880,3265,3264,3264,2049,32,176,2048,3009,3232,3265,3280,1089,16,737"
22,1,1,1,1,2025-12-08T23:05:06.307016Z,"3185,3233,3233,3233,497,16,849,1841,2801,3217,3233,3216,1872,16,17,1520,2497,3216,3233,3233,3233,33,1,1201,2177,3105,3217,3232,3264,544,16,913,1921,2881,3264,3264,3280,1921,32,224,1585,2512,3216,3217,3233,3232,32,0,1249,2241"
23,1,1,1,1,2025-12-08T23:05:06.410016Z,"3248,3233,3216,32,1,1361,2337,3201,3217,3233,3233,65,1,1041,2032,2945,3217,3232,3232,992,16,673,1696,2657,3217,3233,3217,3217,32,33,1441,2416,3248,3264,3265,3264,64,17,1104,2097,3089,3216,3233,3232,1040,17,753,1760,2704,3248"
24,1,1,1,1,2025-12-08T23:05:06.513016Z,"3185,465,16,881,1856,2784,3217,3216,3232,1696,17,208,1536,2497,3216,3232,3232,3233,32,1,1216,2192,3088,3216,3233,3233,416,16,880,1889,2833,3265,3264,3265,1936,32,368,1616,2576,3248,3232,3264,3280,48,17,1281,2240,3136,3265,3264"
25,1,1,1,1,2025-12-08T23:05:06.615016Z,"32,17,800,1761,2704,3217,3232,3233,1696,17,193,1552,2480,3217,3217,3233,3232,32,1,1216,2176,3073,3233,3232,3233,417,17,881,1872,2817,3232,3265,3265,1793,33,321,1601,2545,3265,3265,3264,3232,33,1,1216,2177,3057,3232,3232,3233"
26,1,1,1,1,2025-12-08T23:05:06.718016Z,"225,1360,2320,3200,3232,3233,3233,64,16,1056,2033,2945,3217,3232,3233,913,16,720,1712,2641,3217,3232,3233,3168,32,0,1377,2336,3200,3216,3233,3233,49,1,1056,2033,2945,3233,3217,3232,849,17,721,1713,2641,3265,3265,3265,3264,32"
27,1,1,1,1,2025-12-08T23:05:06.821016Z,"1968,2992,3216,3233,3232,1408,17,304,1553,2497,3216,3233,3233,3233,33,0,1248,2208,3104,3217,3233,3232,352,16,913,1889,2961,3217,3232,3233,1648,33,449,1633,2577,3248,3265,3265,3265,49,0,1264,2193,3089,3264,3281,3264,401,17,977"
28,1,1,1,1,2025-12-08T23:05:06.924016Z,"3200,3217,3232,3233,65,16,1073,2032,2944,3217,3232,3232,833,16,753,1728,2673,3217,3233,3233,2817,32,16,1409,2368,3216,3248,3233,3232,49,16,1153,2128,3073,3264,3265,3264,864,17,800,1793,2736,3248,3264,3265,2929,33,1,1473,2433"
29,1,1,1,1,2025-12-08T23:05:07.027016Z,"3216,3232,1185,16,337,1569,2513,3216,3232,3233,3232,1,1,1264,2224,3120,3217,3233,3232,273,16,929,1905,2832,3217,3233,3232,1297,16,337,1648,2560,3248,3264,3264,3280,32,16,1329,2336,3169,3217,3233,3281,305,1,1008,1985,2912,3264"
30,1,1,1,1,2025-12-08T23:05:07.130016Z,"3217,33,1,1105,2065,2977,3216,3232,3232,736,17,768,1761,2688,3217,3232,3232,2657,16,1,1440,2385,3216,3233,3232,3233,33,1,1104,2112,3024,3265,3264,3264,800,17,848,1840,2785,3265,3264,3265,2705,33,16,1505,2465,3249,3264,3264"
31,1,1,1,1,2025-12-08T23:05:07.233016Z,"16,465,1600,2544,3216,3233,3233,3232,32,1,1280,2240,3121,3233,3233,3233,209,1,960,1937,2848,3217,3216,3232,1233,17,561,1616,2560,3264,3265,3265,3265,32,16,1345,2320,3216,3264,3264,3264,257,16,1025,2000,2913,3265,3264,3264,1296"
32,1,1,1,1,2025-12-08T23:05:07.336016Z,"1104,2048,2944,3232,3216,3233,689,16,784,1760,2673,3216,3232,3232,2464,33,1,1441,2384,3201,3233,3233,3233,48,1,1121,2080,2977,3217,3265,3265,753,16,848,1824,2753,3264,3265,3232,2608,32,16,1505,2449,3248,3264,3265,3265,48,16"
33,1,1,1,1,2025-12-08T23:05:07.438016Z,"2416,3072,3217,3233,3232,657,17,784,1744,2672,3216,3232,3233,2353,33,1,1440,2368,3201,3217,3217,3233,48,1,1121,2081,3169,3232,3233,3249,705,16,848,1824,2753,3264,3264,3265,2529,32,0,1456,2385,3216,3232,3233,3233,49,0,1136"
34,1,1,1,1,2025-12-08T23:05:07.541016Z,"3216,3232,3233,3233,33,1,1312,2257,3136,3216,3216,3233,128,17,992,1953,2864,3216,3233,3233,1137,17,640,1648,2577,3216,3232,3233,3232,32,1,1328,2272,3169,3216,3233,3232,113,17,1056,2017,2944,3265,3264,3264,1201,32,721,1713,2641"
35,1,1,1,1,2025-12-08T23:05:07.645016Z,"3201,3232,592,1,833,1809,2736,3217,3233,3232,2144,32,1,1488,2417,3201,3232,3232,3232,48,1,1169,2129,3009,3233,3232,3232,577,17,849,1840,2768,3248,3264,3265,2352,33,192,2113,2912,3216,3264,3265,1169,16,736,1712,2657,3249,3264"
36,1,1,1,1,2025-12-08T23:05:07.748016Z,"16,16,848,1808,2721,3217,3233,3232,2113,16,128,1504,2432,3217,3232,3217,3233,48,1,1184,2128,3025,3217,3232,3233,576,16,864,1824,2768,3265,3264,3264,2305,32,273,1569,2480,3216,3233,3233,3265,48,17,1248,2192,3073,3264,3264,3265"
